"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Another Chance","B","C","84921","6.85","11257","9.57","6058","65.5%","52.7%","994","50.8%","1533","53.9%","2527","52.7%","3517","52.7%","0.0pp"
"Cartographer's Companion","","C","86732","6.53","14432","9.04","2058","45.9%","51.4%","354","","527","52.6%","881","52.7%","1176","50.3%","2.3pp"
"Enterprising Scallywag","R","U","21576","3.86","5432","4.73","4262","95.0%","53.3%","756","55.3%","1046","50.7%","1802","52.6%","2454","53.8%","-1.2pp"
"Burning Sun Cavalry","R","C","83093","6.69","11588","9.34","1975","34.9%","52.3%","348","","462","","810","52.6%","1165","52.0%","0.6pp"
"Rampaging Ceratops","R","U","24251","4.54","3741","6.28","1792","78.1%","50.8%","288","","415","","703","52.5%","1091","49.8%","2.7pp"
"Compass Gnome","","C","84049","6.11","12669","8.72","1937","44.9%","52.2%","374","","441","","815","52.4%","1118","52.2%","0.2pp"
"Diamond Pick-Axe","R","U","21914","4.03","5881","4.79","2486","82.2%","50.8%","432","","566","52.3%","998","52.2%","1485","49.8%","2.4pp"
"Promising Vein","","B","73799","6.01","9748","8.64","2891","72.5%","50.6%","517","53.6%","719","51.2%","1236","52.2%","1650","49.6%","2.6pp"
"Soulcoil Viper","B","U","23046","4.31","3952","5.55","3386","84.8%","54.0%","558","49.6%","860","53.7%","1418","52.1%","1960","55.3%","-3.1pp"
"Sunshot Militia","R","C","80799","6.32","17149","8.07","6878","70.2%","52.7%","1144","51.2%","1699","52.7%","2843","52.1%","4029","53.1%","-1.0pp"
"Ray of Ruin","B","C","76503","5.81","9134","8.37","4929","65.2%","51.6%","806","49.3%","1216","53.3%","2022","51.7%","2894","51.5%","0.2pp"
"Broodrage Mycoid","B","C","77334","5.88","9316","8.46","6434","72.7%","51.6%","1076","48.7%","1627","53.3%","2703","51.5%","3728","51.7%","-0.3pp"
"Dreadmaw's Ire","R","U","21998","3.93","6540","4.77","2729","80.2%","51.2%","439","","671","53.9%","1110","51.4%","1618","51.1%","0.3pp"
"Brazen Blademaster","R","C","84883","6.90","12811","9.52","2656","39.8%","51.1%","461","","597","50.9%","1058","51.4%","1594","50.8%","0.7pp"
"Idol of the Deep King","R","C","70280","5.26","13720","7.05","6311","75.0%","52.1%","1071","48.9%","1530","52.9%","2601","51.3%","3705","52.7%","-1.4pp"
"Careening Mine Cart","","U","23402","3.97","6787","4.95","1685","79.5%","53.1%","282","","422","","704","51.0%","980","54.6%","-3.6pp"
"Mephitic Draught","B","C","84205","6.83","11002","9.51","4824","51.2%","50.7%","837","49.8%","1264","51.7%","2101","50.9%","2721","50.5%","0.4pp"
"Fungal Fortitude","B","C","87826","7.59","8779","11.21","2489","33.1%","51.3%","397","","643","50.7%","1040","50.6%","1447","51.9%","-1.3pp"
"Deep Goblin Skulltaker","B","C","78492","6.08","8548","8.86","7487","76.9%","51.5%","1327","50.0%","1840","50.7%","3167","50.4%","4318","52.2%","-1.8pp"
"Screaming Phantom","B","C","82012","6.52","9617","9.30","7284","74.3%","52.2%","1297","49.1%","1747","51.1%","3044","50.2%","4237","53.5%","-3.3pp"
"Greedy Freebooter","B","C","82951","6.75","9268","9.83","5284","61.3%","50.4%","926","51.0%","1313","49.7%","2239","50.2%","3041","50.5%","-0.3pp"
"Vito's Inquisitor","B","C","86088","7.30","9139","10.63","4044","49.5%","50.0%","639","45.4%","1040","52.6%","1679","49.9%","2358","50.0%","-0.1pp"
"Grasping Shadows","B","U","30300","4.74","4878","6.31","3008","73.4%","50.3%","502","45.6%","740","50.7%","1242","48.6%","1762","51.4%","-2.8pp"
"Acolyte of Aclazotz","B","C","86952","7.36","10000","10.42","4430","49.7%","48.9%","721","48.4%","1148","48.3%","1869","48.4%","2559","49.3%","-0.9pp"
"Hotfoot Gnome","R","C","88142","7.34","11433","10.46","2347","34.6%","50.0%","375","","575","51.0%","950","48.1%","1398","51.4%","-3.3pp"
"Child of the Volcano","R","C","88792","7.48","9910","11.01","4788","51.5%","49.2%","750","47.2%","1215","47.4%","1965","47.3%","2819","50.5%","-3.2pp"
"Abuelo's Awakening","W","R","6905","4.16","1242","5.38","8","","","2","","0","","2","","6","",""
"Acrobatic Leap","W","C","93048","8.74","12235","12.08","0","0.0%","","0","","0","","0","","0","",""
"Adaptive Gemguard","W","C","76332","5.80","12881","7.97","2","0.2%","","1","","0","","1","","1","",""
"Attentive Sunscribe","W","C","80634","6.02","13795","8.26","0","0.0%","","0","","0","","0","","0","",""
"Bat Colony","W","U","30953","6.45","4208","8.89","131","13.5%","","21","","41","","62","","68","",""
"Clay-Fired Bricks","W","U","22423","3.34","8089","3.75","11","2.0%","","2","","3","","5","","6","",""
"Cosmium Blast","W","C","73527","5.43","10070","7.78","17","2.2%","","5","","4","","9","","8","",""
"Dauntless Dismantler","W","U","30118","5.84","4616","8.01","9","","","1","","4","","5","","4","",""
"Deconstruction Hammer","W","C","88656","7.36","14217","9.99","0","0.0%","","0","","0","","0","","0","",""
"Dusk Rose Reliquary","W","U","18858","3.41","6120","4.01","24","","","4","","10","","14","","10","",""
"Envoy of Okinec Ahau","W","C","82026","6.41","10486","9.33","5","0.5%","","2","","0","","2","","3","",""
"Fabrication Foundry","W","R","9429","5.50","1338","7.97","0","","","0","","0","","0","","0","",""
"Family Reunion","W","C","90860","8.22","9977","11.97","0","0.0%","","0","","0","","0","","0","",""
"Get Lost","W","R","4052","2.45","1113","2.60","10","","","1","","2","","3","","7","",""
"Glorifier of Suffering","W","C","76004","5.75","12409","7.92","8","0.7%","","0","","3","","3","","5","",""
"Guardian of the Great Door","W","U","18149","3.31","5999","3.83","0","","","0","","0","","0","","0","",""
"Helping Hand","W","U","30615","6.14","4302","8.67","3","0.5%","","0","","1","","1","","2","",""
"Ironpaw Aspirant","W","C","75928","5.62","16017","7.28","6","0.6%","","1","","3","","4","","2","",""
"Kinjalli's Dawnrunner","W","U","19801","3.58","5671","4.30","38","","","8","","8","","16","","22","",""
"Kutzil's Flanker","W","R","3366","1.95","1659","2.00","9","","","2","","3","","5","","4","",""
"Malamet War Scribe","W","U","23476","4.39","5060","5.55","0","","","0","","0","","0","","0","",""
"Market Gnome","W","U","23865","4.32","5349","5.36","0","","","0","","0","","0","","0","",""
"Might of the Ancestors","W","U","30268","6.33","3626","9.19","0","","","0","","0","","0","","0","",""
"Miner's Guidewing","W","C","71999","5.20","16479","6.55","4","0.4%","","3","","0","","3","","1","",""
"Mischievous Pup","W","U","25336","4.62","5830","5.81","0","","","0","","0","","0","","0","",""
"Ojer Taq, Deepest Foundation","W","M","1122","1.41","736","1.38","9","","","3","","1","","4","","5","",""
"Oltec Archaeologists","W","C","87844","7.32","11392","10.44","3","0.2%","","0","","3","","3","","0","",""
"Oltec Cloud Guard","W","C","57145","3.93","17548","4.73","21","2.0%","","4","","6","","10","","11","",""
"Oteclan Landmark","W","C","83762","7.12","12264","9.89","1","0.1%","","0","","0","","0","","1","",""
"Petrify","W","C","55434","3.77","14254","4.82","51","5.4%","","7","","14","","21","","30","",""
"Quicksand Whirlpool","W","C","72644","5.28","10797","7.53","14","1.5%","","2","","4","","6","","8","",""
"Resplendent Angel","W","M","1126","1.39","833","1.34","0","","","0","","0","","0","","0","",""
"Ruin-Lurker Bat","W","U","19724","3.58","6704","4.08","0","","","0","","0","","0","","0","",""
"Sanguine Evangelist","W","R","2659","1.68","1881","1.66","59","","","11","","18","","29","","30","",""
"Soaring Sandwing","W","C","80016","5.98","11532","8.66","88","6.4%","","13","","26","","39","","49","",""
"Spring-Loaded Sawblades","W","U","17881","2.66","7324","3.02","62","","","12","","13","","25","","37","",""
"Thousand Moons Crackshot","W","C","90008","7.73","11128","10.95","0","0.0%","","0","","0","","0","","0","",""
"Thousand Moons Infantry","W","C","90028","7.86","10116","11.47","0","0.0%","","0","","0","","0","","0","",""
"Thousand Moons Smithy","W","R","2488","1.48","1834","1.42","24","","","6","","3","","9","","15","",""
"Tinker's Tote","W","C","63084","4.45","17342","5.54","41","3.9%","","6","","11","","17","","24","",""
"Unstable Glyphbridge","W","R","2763","1.70","1874","1.70","22","","","4","","6","","10","","12","",""
"Vanguard of the Rose","W","U","25193","4.68","6323","5.75","6","1.0%","","0","","4","","4","","2","",""
"Warden of the Inner Sky","W","R","2997","1.80","1819","1.78","7","","","3","","0","","3","","4","",""
"Akal Pakal, First Among Equals","U","R","3183","1.92","2115","1.89","41","","","5","","10","","15","","26","",""
"Ancestral Reminiscence","U","C","92248","8.48","11962","11.86","17","0.7%","","2","","8","","10","","7","",""
"Brackish Blunder","U","C","82857","6.48","16517","8.52","6","0.5%","","1","","1","","2","","4","",""
"Braided Net","U","R","4422","2.63","2053","2.69","4","","","0","","0","","0","","4","",""
"Chart a Course","U","U","24674","4.55","6481","5.58","12","2.2%","","1","","2","","3","","9","",""
"Cogwork Wrestler","U","C","84927","6.98","18368","8.74","0","0.0%","","0","","0","","0","","0","",""
"Confounding Riddle","U","U","27299","5.08","5659","6.63","5","0.8%","","1","","2","","3","","2","",""
"Council of Echoes","U","U","25603","4.85","5331","6.14","6","1.0%","","1","","0","","1","","5","",""
"Didact Echo","U","C","89226","7.61","12481","10.70","13","0.7%","","2","","5","","7","","6","",""
"Eaten by Piranhas","U","U","24382","4.54","5405","5.85","5","","","1","","1","","2","","2","",""
"The Enigma Jewel","U","M","3362","3.96","470","5.48","0","","","0","","0","","0","","0","",""
"The Everflowing Well","U","R","4111","2.53","1645","2.62","18","","","2","","4","","6","","12","",""
"Frilled Cave-Wurm","U","C","92096","8.54","10651","12.21","0","0.0%","","0","","0","","0","","0","",""
"Hermitic Nautilus","U","U","27257","5.16","6473","6.49","2","0.4%","","1","","0","","1","","1","",""
"Hurl into History","U","U","31436","6.29","5333","8.44","0","0.0%","","0","","0","","0","","0","",""
"Inverted Iceberg","U","C","76036","5.99","17720","7.56","0","0.0%","","0","","0","","0","","0","",""
"Kitesail Larcenist","U","R","2795","1.72","1946","1.69","52","","","8","","14","","22","","30","",""
"Lodestone Needle","U","U","27505","4.25","8736","4.98","17","","","4","","6","","10","","7","",""
"Malcolm, Alluring Scoundrel","U","R","2686","1.64","1870","1.59","41","","","9","","12","","21","","20","",""
"Marauding Brinefang","U","C","85697","6.90","11537","9.93","87","6.0%","","17","","20","","37","","50","",""
"Merfolk Cave-Diver","U","U","29800","6.24","4493","8.55","0","0.0%","","0","","0","","0","","0","",""
"Oaken Siren","U","C","71616","5.37","18614","6.63","0","0.0%","","0","","0","","0","","0","",""
"Ojer Pakpatiq, Deepest Epoch","U","M","1150","1.37","871","1.31","12","","","0","","4","","4","","8","",""
"Orazca Puzzle-Door","U","C","90290","7.83","16113","10.33","0","0.0%","","0","","0","","0","","0","",""
"Out of Air","U","C","90128","8.07","12556","11.23","0","0.0%","","0","","0","","0","","0","",""
"Pirate Hat","U","C","91004","8.43","14332","11.31","6","0.3%","","1","","1","","2","","4","",""
"Relic's Roar","U","C","94182","9.30","12489","12.69","0","0.0%","","0","","0","","0","","0","",""
"River Herald Scout","U","C","74797","5.58","16715","7.25","24","2.0%","","3","","6","","9","","15","",""
"Sage of Days","U","C","89679","8.00","12851","11.05","0","0.0%","","0","","0","","0","","0","",""
"Self-Reflection","U","U","33071","6.98","4723","9.78","5","0.5%","","1","","2","","3","","2","",""
"Shipwreck Sentry","U","C","87857","7.59","15892","9.99","0","0.0%","","0","","0","","0","","0","",""
"Sinuous Benthisaur","U","U","33094","6.83","4766","9.33","91","8.2%","","17","","21","","38","","53","",""
"Song of Stupefaction","U","C","92230","8.85","11863","12.32","14","0.6%","","1","","5","","6","","8","",""
"Spyglass Siren","U","U","17780","3.19","7761","3.56","0","","","0","","0","","0","","0","",""
"Staunch Crewmate","U","U","23134","4.26","7773","4.77","0","","","0","","0","","0","","0","",""
"Tishana's Tidebinder","U","R","3903","2.26","1758","2.33","12","","","2","","4","","6","","6","",""
"Unlucky Drop","U","C","91237","8.18","16587","10.54","0","0.0%","","0","","0","","0","","0","",""
"Waterlogged Hulk","U","U","40679","7.28","6186","9.99","17","1.5%","","3","","7","","10","","7","",""
"Waterwind Scout","U","C","57094","4.04","20442","4.69","28","2.6%","","8","","4","","12","","16","",""
"Waylaying Pirates","U","C","84589","6.87","16393","8.99","12","0.8%","","1","","3","","4","","8","",""
"Zoetic Glyph","U","U","20208","3.75","8636","3.97","28","5.1%","","3","","12","","15","","13","",""
"Abyssal Gorestalker","B","U","30007","6.03","3225","8.90","842","38.1%","47.3%","130","","227","","357","","484","",""
"Aclazotz, Deepest Betrayal","B","M","983","1.19","794","1.16","766","100.0%","59.4%","137","","206","","343","","427","",""
"Bloodthorn Flail","B","U","35000","7.64","4047","11.06","887","30.4%","47.5%","170","","229","","399","","487","",""
"Bringer of the Last Gift","B","R","4315","2.75","1172","2.87","664","81.7%","49.8%","100","","183","","283","","378","",""
"Canonized in Blood","B","U","27546","5.52","2796","8.24","1016","45.9%","43.7%","156","","274","","430","","585","46.5%",""
"Gargantuan Leech","B","U","31050","6.32","3704","8.92","912","38.2%","53.5%","165","","225","","390","","523","51.2%",""
"Malicious Eclipse","B","U","30295","6.21","3117","9.28","593","27.9%","48.7%","95","","164","","259","","334","",""
"Queen's Bay Paladin","B","R","4253","2.67","1264","2.71","615","67.3%","55.1%","86","","163","","249","","365","",""
"Terror Tide","B","R","3387","2.02","1399","1.96","928","91.0%","50.3%","151","","234","","385","","538","49.3%",""
"Bonehoard Dracosaur","R","M","970","1.15","877","1.13","824","100.0%","60.0%","134","","230","","364","","465","",""
"Calamitous Cave-In","R","U","34046","7.18","4923","9.66","752","30.5%","54.9%","124","","192","","316","","434","",""
"Curator of Sun's Creation","R","U","27782","5.50","3910","7.60","1198","48.2%","49.6%","205","","279","","484","","714","52.5%",""
"Daring Discovery","R","C","91769","8.51","11186","12.02","774","12.8%","47.7%","113","","190","","303","","471","",""
"Dowsing Device","R","U","35750","5.76","6099","7.68","954","35.3%","48.1%","172","","225","","397","","556","50.2%",""
"Goldfury Strider","R","U","31212","6.09","4936","8.30","1216","45.7%","50.8%","191","","285","","476","","740","50.0%",""
"Hit the Mother Lode","R","R","8879","5.13","1073","7.97","45","","","5","","13","","18","","27","",""
"Ojer Axonil, Deepest Might","R","M","1321","1.50","829","1.47","582","99.0%","53.3%","91","","174","","265","","319","",""
"Poetic Ingenuity","R","R","3209","2.09","1669","2.00","661","83.5%","56.4%","101","","166","","267","","394","",""
"Tectonic Hazard","R","C","93337","9.19","9849","13.21","180","3.6%","","27","","42","","69","","111","",""
"Zoyowa's Justice","R","U","34835","7.82","3941","11.47","228","10.6%","","32","","64","","96","","132","",""
"Armored Kincaller","G","C","72779","5.40","10103","7.44","15","1.3%","","1","","5","","6","","9","",""
"Basking Capybara","G","C","87304","7.22","8855","10.51","3","0.2%","","1","","2","","3","","0","",""
"Bedrock Tortoise","G","R","2893","1.76","1429","1.69","49","","","7","","13","","20","","29","",""
"Cavern Stomper","G","C","75596","5.76","8982","8.21","0","0.0%","","0","","0","","0","","0","",""
"Cenote Scout","G","U","21613","3.87","4594","4.82","7","","","2","","1","","3","","4","",""
"Coati Scavenger","G","U","24162","4.45","3945","5.81","27","","","4","","9","","13","","14","",""
"Colossadactyl","G","U","17227","3.08","3826","3.77","0","","","0","","0","","0","","0","",""
"Disturbed Slumber","G","C","92462","8.91","8422","13.05","0","0.0%","","0","","0","","0","","0","",""
"Earthshaker Dreadmaw","G","U","17299","3.23","3700","3.84","16","","","4","","2","","6","","10","",""
"Explorer's Cache","G","U","27983","5.34","4179","7.16","0","","","0","","0","","0","","0","",""
"Ghalta, Stampede Tyrant","G","M","1631","1.94","450","2.08","6","","","0","","1","","1","","5","",""
"Glimpse the Core","G","U","28749","5.59","3305","7.98","4","","","0","","1","","1","","3","",""
"Glowcap Lantern","G","U","28802","5.78","3140","8.47","0","","","0","","0","","0","","0","",""
"Growing Rites of Itlimoc","G","R","5398","3.26","740","4.20","0","","","0","","0","","0","","0","",""
"Huatli, Poet of Unity","G","M","1098","1.38","812","1.33","83","","","15","","14","","29","","54","",""
"Huatli's Final Strike","G","C","63359","4.49","10509","5.86","11","1.6%","","1","","2","","3","","8","",""
"Hulking Raptor","G","R","2568","1.54","1280","1.51","0","","","0","","0","","0","","0","",""
"In the Presence of Ages","G","C","91258","8.18","8860","11.93","8","0.4%","","2","","2","","4","","3","",""
"Intrepid Paleontologist","G","R","2859","1.75","1378","1.71","3","","","0","","2","","2","","1","",""
"Ixalli's Lorekeeper","G","U","25099","4.99","3576","6.68","0","","","0","","0","","0","","0","",""
"Jade Seedstones","G","U","32117","4.95","4512","6.85","3","","","0","","1","","1","","2","",""
"Jadelight Spelunker","G","R","2838","1.75","1461","1.69","107","","","17","","23","","40","","67","",""
"Kaslem's Stonetree","G","C","84862","7.58","8028","11.25","18","1.1%","","4","","4","","8","","10","",""
"Malamet Battle Glyph","G","U","21063","3.75","4179","4.71","0","","","0","","0","","0","","0","",""
"Malamet Brawler","G","C","87954","7.44","9349","10.67","0","0.0%","","0","","0","","0","","0","",""
"Malamet Scythe","G","C","90162","8.02","9065","11.67","0","0.0%","","0","","0","","0","","0","",""
"Malamet Veteran","G","C","85109","6.95","8150","10.39","16","1.4%","","5","","5","","10","","6","",""
"Mineshaft Spider","G","C","88130","7.49","8741","10.96","25","1.5%","","4","","9","","13","","12","",""
"Nurturing Bristleback","G","C","72560","5.35","9082","7.66","98","11.1%","","18","","19","","37","","60","",""
"Ojer Kaslem, Deepest Growth","G","M","1028","1.27","726","1.20","18","","","2","","7","","9","","9","",""
"Over the Edge","G","C","85179","7.03","8054","10.42","4","0.4%","","1","","0","","1","","3","",""
"Pathfinding Axejaw","G","C","62688","4.41","10177","5.87","10","1.5%","","2","","2","","4","","6","",""
"Poison Dart Frog","G","C","56780","3.99","10276","5.11","34","4.9%","","3","","9","","12","","22","",""
"Pugnacious Hammerskull","G","R","2708","1.64","1464","1.60","38","","","7","","10","","17","","21","",""
"River Herald Guide","G","C","74485","5.57","10575","7.60","48","5.4%","","7","","12","","19","","29","",""
"Seeker of Sunlight","G","C","85815","7.29","7475","11.00","9","0.8%","","2","","2","","4","","5","",""
"Sentinel of the Nameless City","G","R","2598","1.57","1611","1.50","66","","","8","","14","","22","","44","",""
"The Skullspore Nexus","G","M","1240","1.55","684","1.47","5","","","1","","1","","2","","3","",""
"Spelunking","G","U","32683","6.90","3186","10.39","11","1.3%","","2","","4","","6","","5","",""
"Staggering Size","G","C","89148","7.74","9997","10.85","0","0.0%","","0","","0","","0","","0","",""
"Tendril of the Mycotyrant","G","U","23818","4.44","4260","5.61","6","","","1","","2","","3","","3","",""
"Thrashing Brontodon","G","U","17753","3.12","4259","3.76","0","","","0","","0","","0","","0","",""
"Twists and Turns","G","U","28604","4.44","4668","5.76","4","","","0","","1","","1","","3","",""
"Walk with the Ancestors","G","C","88693","7.65","8657","11.24","40","2.4%","","12","","5","","17","","23","",""
"Abuelo, Ancestral Echo","WU","R","4095","2.54","1882","2.46","0","","","0","","0","","0","","0","",""
"Akawalli, the Seething Tower","BG","U","22452","4.40","3566","5.65","253","24.9%","","48","","62","","110","","143","",""
"Amalia Benavides Aguirre","WB","R","5353","3.28","1171","3.83","31","","","3","","12","","15","","16","",""
"The Ancient One","UB","M","1948","2.54","521","2.57","22","","","2","","5","","7","","15","",""
"Anim Pakal, Thousandth Moon","WR","R","2972","1.84","1908","1.76","280","","","37","","74","","111","","169","",""
"Bartolomé del Presidio","WB","U","25858","5.12","4294","6.63","217","18.8%","","36","","50","","86","","131","",""
"The Belligerent","UR","R","4298","2.62","1943","2.62","297","","","40","","82","","122","","176","",""
"Caparocti Sunborn","WR","U","20087","3.89","6151","4.49","696","51.0%","52.6%","118","","174","","292","","404","",""
"Captain Storm, Cosmium Raider","UR","U","22412","4.44","7276","4.83","156","14.0%","","31","","37","","68","","88","",""
"Deepfathom Echo","UG","R","4038","2.64","1591","2.51","0","","","0","","0","","0","","0","",""
"Gishath, Sun's Avatar","WRG","M","1739","2.11","474","2.14","0","","","0","","0","","0","","0","",""
"Itzquinth, Firstborn of Gishath","RG","U","18366","3.56","4496","4.05","111","14.8%","","12","","31","","43","","68","",""
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","9","","","3","","2","","5","","4","",""
"Kutzil, Malamet Exemplar","WG","U","23546","4.63","3996","5.94","0","","","0","","0","","0","","0","",""
